id,pytanie,odpowiedz a,odpowiedz b,odpowiedz c,odpowiedz d,poprawna odpowiedz
27,Wzrost rentowności kapitału własnego jest dla przedsiębiorstwa:,Zawsze korzystny,"Korzystny pod warunkiem, że towarzyszy temu obniżenie kosztu kapitału własnego","Korzystny pod warunkiem, że towarzyszy temu obniżenie kosztu kapitału","Korzystny pod warunkiem, że towarzyszy temu wzrost rentowności operacyjnej kapitału",
28,Oddziaływanie kapitału intelektualnego na efektywność przedsiębiorstwa wyraża się w:,Każdym wzroście wartości rynkowej przedsiębiorstwa,Rosnącej wartości kapitału własnego przedsiębiorstwa,Rosnącej wartości majątku przedsiębiorstwa,Rosnącej różnicy pomiędzy wartością rynkową a wartością księgową przedsiębiorstwa,
29,Parametrem mikroekonomicznym w rynkowej koncepcji szacowania kosztu kapitału własnego jest:,Stopa zwrotu z inwestycji wolnych od ryzyka,Współczynnik ryzyka inwestycyjnego,Rynkowa premia za ryzyko,Rynkowa stopa zwrotu,
30,Metoda rat malejących spłaty kredytu polega na:,Spłacaniu kredytu przy malejących ratach kapitałowych,Spłacaniu kredytu przy rosnących ratach kapitałowych i malejących odsetkach,Spłacaniu kredytu przy rosnących ratach kapitałowych,Spłacaniu kredytu przy równych ratach kapitałowych,
31,Model CAPM służy m.in. do:,Szacowania ryzyka inwestycyjnego,Szacowania kosztu kapitału obcego,Szacowania stopy zwrotu z inwestycji wolnych od ryzyka,Szacowania kosztu kapitału własnego,
32,"Dodatni stopień dźwigni finansowej ma miejsce, gdy:",Koszt kapitału obcego jest niższy niż skorygowana rentowność kapitału,Rentowność kapitału własnego jest dodatnia,Koszt kapitału obcego jest niższy niż koszt kapitału własnego,Koszt kapitału obcego jest niższy niż rentowność kapitału własnego,
33,Do hybrydowych instrumentów pozyskiwania kapitału zaliczamy:,Emisję akcji i emisję obligacji,Emisję obligacji i konwersję zadłużenia,Emisję obligacji zamiennych na akcje,Emisję akcji i konwersję zadłużenia,
34,Współczynnik beta w postaci odlewarowanej oznacza:,Poziom ryzyka przeciętnego w danej branży,Poziom ryzyka dla przedsiębiorstwa średnio zadłużonego,Poziom ryzyka dla przedsiębiorstwa zadłużonego,Poziom ryzyka dla przedsiębiorstwa niezadłużonego,
35,Do instrumentów pozyskiwania kapitału własnego wewnętrznego zaliczamy:,Zysk reinwestowany i emisję akcji,Venture capital i amortyzację,Amortyzację i zysk reinwestowany,Emisję akcji i kredyt bankowy,
36,"Ujemny stopień dźwigni finansowej ma miejsce, gdy:",Koszt kapitału obcego jest wyższy niż rentowność kapitału własnego,Rentowność kapitału własnego jest ujemna,Koszt kapitału obcego jest wyższy niż skorygowana rentowność kapitału,Koszt kapitału obcego jest wyższy niż koszt kapitału własnego,
37,Efekt osłony podatkowej wpływa na:,Koszt kapitału własnego przedsiębiorstwa,Operacyjną rentowność kapitału przedsiębiorstwa,Przeciętne oprocentowanie kapitału obcego przedsiębiorstwa,Koszt kapitału obcego przedsiębiorstwa,
38,Operacyjna rentowność kapitału przedsiębiorstwa zależy od (finansowa zależy od efektu dźwigni finansowej):,Efektywności w sferze operacyjnej i struktury kapitałowej przedsiębiorstwa,Struktury kapitałowej przedsiębiorstwa oraz stopy podatku dochodowego,Efektywności w sferze operacyjnej przedsiębiorstwa oraz stopy podatku dochodowego,Efektywności w sferze operacyjnej przedsiębiorstwa,
39,"Wzrost udziału kapitału obcego w strukturze kapitałowej przedsiębiorstwa jest uzasadniony, gdy:",Prowadzi to do obniżenia WACC przedsiębiorstwa,Prowadzi to do wzrostu zysku netto,Prowadzi to do wzrostu rentowności kapitału własnego,Prowadzi to do wzrostu skorygowanej rentowności kapitału,
40,Strategię umiarkowaną zarządzania kapitałem w przedsiębiorstwie cechuje:,Występowanie kapitałowej bariery rozwoju przedsiębiorstwa,Równowaga kapitałowa pomiędzy kapitałem własnym a kapitałem obcym,Wysoki poziom ryzyka finansowego,Silny wpływ efektu dźwigni finansowej na rentowność kapitału własnego,
41,Efekt osłony podatkowej powoduje w przedsiębiorstwie:,Obniżenie kosztu kapitału własnego,Obniżenie przeciętnego oprocentowania kapitału obcego,Obniżenie kosztu kapitału obcego,Wzrost operacyjnej rentowności kapitału,
42,"Funkcja strategiczna kapitału oznacza, że:",Kapitał odgrywa strategiczną rolę w przedsiębiorstwie,Dobór kapitałów jest podstawą formułowania jednej ze strategii przedsiębiorstwa,Dobór kapitałów to inaczej strategia przedsiębiorstwa,Kapitał jest podstawą zarządzania strategicznego przedsiębiorstwem,
43,Do instrumentów pozyskiwania kapitału obcego przez przedsiębiorstwo zaliczamy:,Leasing i reinwestowanie zysku,Emisję obligacji zamiennych na akcje,Emisję akcji i emisję obligacji,Emisję obligacji i leasing,
44,"Funkcja kosztowa kapitału oznacza, że:","Przedsiębiorstwo ponosi koszt kapitału, który jest jego kosztem księgowym",Koszty kapitału własnego i kapitału obcego pomniejszają zysk przedsiębiorstwa,Koszt kapitału wynika z odsetek płaconych przez przedsiębiorstwo,Kapitał własny i kapitał obcy generują koszty kapitału,
45,Czynnikami kształtującymi koszt kapitału obcego przedsiębiorstwa są:,Oprocentowanie i struktura kapitału obcego,Przeciętne oprocentowanie i struktura kapitału obcego,Przeciętne oprocentowanie kapitału obcego i efekt osłony podatkowej,Efekt osłony podatkowej i efekt dźwigni finansowej,
46,Strategię agresywną zarządzania kapitałem w przedsiębiorstwie cechuje:,Występowanie kapitałowej bariery rozwoju przedsiębiorstwa,Równowaga kapitałowa pomiędzy kapitałem własnym a kapitałem obcym,Silny wpływ efektu dźwigni finansowej na rentowność kapitału własnego,Niski poziom ryzyka finansowego,
47,Wykorzystanie rachunku kosztu kapitału dla potrzeb szacowania stopy dyskontowej polega na:,Przyjęciu stopy dyskontowej jako równej średniemu ważonemu kosztowi kapitału,Wyznaczeniu stopy dyskontowej w oparciu o równania Hamady,Wyznaczeniu stopy dyskontowej jako elementu rachunku kosztu kapitału,Wyznaczeniu stopy dyskontowej na podstawie średniego ważonego kosztu kapitału,
48,Kapitał intelektualny przedsiębiorstwa obejmuje:,Wyłącznie kapitał ludzki,Kapitał rzeczowy i kapitał finansowy,Kapitał ludzki i kapitał strukturalny,Kapitał ludzki i kapitał realny,
49,Koncepcja dywidendowa szacowania kosztu kapitału polega na:,Uznaniu dywidendy jako finansowej korzyści z zainwestowanego kapitału,Wpływie stopy dywidendy na koszt kapitału obcego,Wpływie stopy dywidendy na koszt kapitału własnego,Wyznaczaniu rynkowej stopy zwrotu w oparciu o stopę dywidendy,
50,Skorygowana rentowność kapitału przedsiębiorstwa informuje bezpośrednio o:,Rzeczywistej stopie zwrotu netto z jego kapitału,Hipotetycznej stopie zwrotu netto z jego kapitału własnego,Rzeczywistej stopie zwrotu netto z jego kapitału własnego,Hipotetycznej stopie zwrotu netto z jego kapitału,
